번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
11,回去,huí qù,돌아가다,회거,我吃完饭就回去。,밥 먹고 바로 돌아갈게.,wǒ chī wán fàn jiù huí qù。,你今晚几点回去？,너 오늘 밤 몇 시에 돌아가?,nǐ jīn wǎn jǐ diǎn huí qù？,太晚的话，我送你回去。,너무 늦으면 내가 데려다줄게.,tài wǎn de huà， wǒ sòng nǐ huí qù。,,,,“回去”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
12,包子,bāo zi,찐빵/만두,포자,我早上买了两个包子。,나 아침에 만두 두 개 샀어.,wǒ zǎo shàng mǎi le liǎng gè bāo zi。,你要不要吃个包子？,만두 하나 먹을래?,nǐ yào bù yào chī gè bāo zi？,来不及吃早饭的话，路上买个包子也行。,아침 먹을 시간 없으면 가면서 만두 하나 사 먹어도 돼.,lái bù jí chī zǎo fàn de huà， lù shàng mǎi gè bāo zi yě xíng。,要不……,,,“包子”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
13,进去,jìn qù,들어가다,진거,你们先进去吧。,너희 먼저 들어가.,nǐ men xiān jìn qù ba。,现在可以进去了吗？,지금 들어가도 돼?,xiàn zài kě yǐ jìn qù le ma？,人太多的话我们晚点再进去。,사람 너무 많으면 나중에 들어가자.,rén tài duō de huà wǒ men wǎn diǎn zài jìn qù。,,,,“进去”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
14,饺子,jiǎo zi,만두,교자,我突然有点想吃饺子。,갑자기 만두가 좀 먹고 싶다.,wǒ tū rán yǒu diǎn xiǎng chī jiǎo zi。,你想吃饺子吗？,너 만두 먹고 싶어?,nǐ xiǎng chī jiǎo zi ma？,太晚的话，我们就点份饺子吧。,너무 늦으면 만두 한 접시 시켜 먹자.,tài wǎn de huà， wǒ men jiù diǎn fèn jiǎo zi ba。,有点……,,,“饺子”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
15,记住,jì zhù,기억하다,기주,这个号码你先记住。,이 번호는 일단 기억해둬.,zhè ge hào mǎ nǐ xiān jì zhù。,你记住我刚才说的话了吗？,내가 방금 한 말 기억했어?,nǐ jì zhù wǒ gāng cái shuō de huà le ma？,重要的先记住，剩下的拍下来就行。,"중요한 것부터 먼저 기억하고, 나머지는 찍어 두면 돼.",zhòng yào de xiān jì zhù， shèng xià de pāi xià lái jiù xíng。,,,,“记住”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
16,蛋糕,dàn gāo,케이크,단고,这个蛋糕没有我想的那么甜。,이 케이크는 생각보다 덜 달아.,zhè ge dàn gāo méi yǒu wǒ xiǎng de nà me tián。,你想吃巧克力蛋糕还是水果蛋糕？,"초콜릿 케이크 먹을래, 과일 케이크 먹을래?",nǐ xiǎng chī qiǎo kè lì dàn gāo hái shì shuǐ guǒ dàn gāo？,今天她生日，下班后一起去买个蛋糕吧。,오늘 걔 생일이니까 퇴근하고 같이 케이크 사러 가자.,jīn tiān tā shēng rì， xià bān hòu yì qǐ qù mǎi gè dàn gāo ba。,我想……,,,“蛋糕”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
17,出门,chū mén,외출하다,출문,我刚准备出门。,나 방금 나갈 준비하던 참이야.,wǒ gāng zhǔn bèi chū mén。,你今天什么时候出门？,너 오늘 언제 나가?,nǐ jīn tiān shén me shí hòu chū mén？,外面有点冷，出门多穿一点。,밖에 좀 추우니까 나갈 때 옷 더 입어.,wài miàn yǒu diǎn lěng， chū mén duō chuān yì diǎn。,我刚……,有点……,,“出门”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
18,家人,jiā rén,가족,가인,我晚上要陪家人吃饭。,나 저녁에 가족이랑 밥 먹어야 해.,wǒ wǎn shàng yào péi jiā rén chī fàn。,这事你跟家人说了吗？,이 일 가족한테 말했어?,zhè shì nǐ gēn jiā rén shuō le ma？,家人要是担心，我来解释。,가족이 걱정하면 내가 설명할게.,jiā rén yào shì dān xīn， wǒ lái jiě shì。,,,,"“家人”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟家人说 / 问家人 / 找家人”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
19,上班,shàng bān,출근하다,상반,我明天得早点上班。,나 내일 좀 일찍 출근해야 해.,wǒ míng tiān děi zǎo diǎn shàng bān。,你今天几点去上班？,너 오늘 몇 시에 출근해?,nǐ jīn tiān jǐ diǎn qù shàng bān？,不舒服的话，就别硬撑着去上班了。,몸 안 좋으면 억지로 출근하지 마.,bù shū fú de huà， jiù bié yìng chēng zhe qù shàng bān le。,,,,“上班”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
20,烧烤,shāo kǎo,바비큐,소고,夏天晚上吃烧烤还挺舒服的。,여름밤에 바비큐를 먹으면 꽤 좋다.,xià tiān wǎn shàng chī shāo kǎo hái tǐng shū fú de。,你想吃烧烤还是火锅？,"바비큐 먹을래, 훠궈 먹을래?",nǐ xiǎng chī shāo kǎo hái shì huǒ guō？,要不等大家到了再一起去吃烧烤。,다들 도착하면 같이 바비큐 먹으러 가자.,yào bù děng dà jiā dào le zài yì qǐ qù chī shāo kǎo。,要不……,,,“烧烤”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
21,下班,xià bān,퇴근하다,하반,我今天可能要晚点下班。,나 오늘 퇴근이 좀 늦을 수도 있어.,wǒ jīn tiān kě néng yào wǎn diǎn xià bān。,你今天大概几点下班？,너 오늘 대충 몇 시쯤 퇴근해?,nǐ jīn tiān dà gài jǐ diǎn xià bān？,下班以后一起吃个饭吧。,퇴근하고 같이 밥 먹자.,xià bān yǐ hòu yì qǐ chī gè fàn ba。,可能……,,,“下班”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
22,房东,fáng dōng,집주인,방동,房东刚回我消息。,집주인이 방금 내 메시지에 답했어.,fáng dōng gāng huí wǒ xiāo xī。,这个问题要不要先跟房东说？,이 문제는 먼저 집주인한테 말할까?,zhè ge wèn tí yào bù yào xiān gēn fáng dōng shuō？,要是还漏水，我晚上再催房东。,아직도 물 새면 저녁에 집주인한테 다시 재촉할게.,yào shì hái lòu shuǐ， wǒ wǎn shàng zài cuī fáng dōng。,要不……,,,"“房东”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟房东说 / 问房东 / 找房东”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
23,脸,liǎn,얼굴,련,我今天脸有点过敏。,오늘 얼굴이 좀 알레르기 올라왔어.,wǒ jīn tiān liǎn yǒu diǎn guò mǐn。,你脸怎么这么红？,너 얼굴 왜 이렇게 빨개?,nǐ liǎn zěn me zhè me hóng？,脸要是还不舒服，就先别化妆了。,얼굴이 아직 안 좋으면 일단 화장하지 마.,liǎn yào shì hái bù shū fú， jiù xiān bié huà zhuāng le。,……过,有点……,,“脸”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
24,密码,mì mǎ,비밀번호,비밀,我刚把密码改了。,방금 비밀번호를 바꿨다.,wǒ gāng bǎ mì mǎ gǎi le。,你还记得密码吗？,너 아직 비밀번호 기억해?,nǐ hái jì de mì mǎ ma？,要是又忘了密码，就先用手机验证码登进去。,또 비밀번호를 잊으면 휴대폰 인증번호로 먼저 들어가.,yào shì yòu wàng le mì mǎ， jiù xiān yòng shǒu jī yàn zhèng mǎ dēng jìn qù。,我刚……,,,“密码”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
25,牙齿,yá chǐ,이,아치,我这颗牙齿有点疼。,이 이가 좀 아파.,wǒ zhè kē yá chǐ yǒu diǎn téng。,你牙齿还疼吗？,이 아직 아파?,nǐ yá chǐ hái téng ma？,牙齿要是一直疼，还是去看看吧。,이가 계속 아프면 병원에 가 보는 게 좋겠어.,yá chǐ yào shì yì zhí téng， hái shì qù kàn kàn ba。,有点……,一直……,还是……吧,“牙齿”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
26,账号,zhàng hào,계정,장호,这个账号我平时都在用。,이 계정은 내가 평소에 계속 쓰는 것이다.,zhè ge zhàng hào wǒ píng shí dōu zài yòng。,你的账号现在还能登上去吗？,네 계정 지금도 아직 로그인돼?,nǐ de zhàng hào xiàn zài hái néng dēng shàng qù ma？,这个账号要是登不上去，我帮你看看。,이 계정이 로그인이 안 되면 내가 같이 봐줄게.,zhè ge zhàng hào yào shì dēng bù shàng qù， wǒ bāng nǐ kàn kàn。,,,,“账号”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
27,头发,tóu fà,머리카락,두발,我今天没洗头，头发有点乱。,오늘 머리를 안 감아서 좀 헝클어졌어.,wǒ jīn tiān méi xǐ tóu， tóu fà yǒu diǎn luàn。,你是不是把头发剪短了？,너 머리 좀 짧게 잘랐지?,nǐ shì bú shì bǎ tóu fā jiǎn duǎn le？,出门前先把头发吹干吧。,나가기 전에 머리부터 말려.,chū mén qián xiān bǎ tóu fā chuī gàn ba。,有点……,,,“头发”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
28,店员,diàn yuán,점원,점원,我刚问过店员了。,나 방금 점원한테 물어봤어.,wǒ gāng wèn guò diàn yuán le。,你要不要再问一下店员？,점원한테 한 번 더 물어볼래?,nǐ yào bù yào zài wèn yī xià diàn yuán？,找不到码数的话，我们直接叫店员。,사이즈 못 찾겠으면 그냥 점원 부르자.,zhǎo bú dào mǎ shù de huà， wǒ men zhí jiē jiào diàn yuán。,……过,我刚……,要不……,"“店员”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟店员说 / 问店员 / 找店员”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
29,肩膀,jiān bǎng,어깨,견방,我昨天搬东西，肩膀到现在还酸。,어제 짐 옮겼더니 어깨가 아직도 뻐근해.,wǒ zuó tiān bān dōng xī， jiān bǎng dào xiàn zài hái suān。,你肩膀是不是又疼了？,어깨 또 아픈 거야?,nǐ jiān bǎng shì bú shì yòu téng le？,肩膀不舒服就先别提重的。,어깨 안 좋으면 무거운 건 일단 들지 마.,jiān bǎng bù shū fú jiù xiān bié tí zhòng de。,,,,“肩膀”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
30,文件,wén jiàn,파일,문건,这个文件我已经打开了。,이 파일은 내가 이미 열었다.,zhè ge wén jiàn wǒ yǐ jīng dǎ kāi le。,文件你下载了吗？,파일 다운로드했어?,wén jiàn nǐ xià zài le ma？,你先看文件，等会儿我们再说。,"먼저 파일 보고, 이따 다시 얘기하자.",nǐ xiān kàn wén jiàn， děng huì er wǒ men zài shuō。,我已经……了,,,“文件”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
31,皮肤,pí fū,피부,피부,我最近换了护肤品，皮肤有点敏感。,최근 화장품 바꿨더니 피부가 좀 예민해졌어.,wǒ zuì jìn huàn le hù fū pǐn， pí fū yǒu diǎn mǐn gǎn。,你皮肤怎么突然这么红？,피부가 왜 갑자기 이렇게 빨개?,nǐ pí fū zěn me tū rán zhè me hóng？,皮肤不舒服就先别乱用东西了。,피부가 불편하면 아무거나 막 바르지 마.,pí fū bù shū fú jiù xiān bié luàn yòng dōng xī le。,有点……,,,“皮肤”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
32,邮件,yóu jiàn,"메일, 이메일",우건,这封邮件我刚回完。,이 메일 방금 답장했어.,zhè fēng yóu jiàn wǒ gāng huí wán。,你看到我发的邮件了吗？,내가 보낸 메일 봤어?,nǐ kàn dào wǒ fā de yóu jiàn le ma？,我先回邮件，回完再跟你说。,"나 먼저 메일 답장하고, 끝나면 다시 말할게.",wǒ xiān huí yóu jiàn， huí wán zài gēn nǐ shuō。,我刚……,……以后，再……,,“邮件”는 직장·학교·예약·문의 상황에서 아주 자주 쓰는 디지털 생활어다.,“发邮件 / 回邮件 / 看邮件”처럼 동사와 묶어서 익히면 바로 써먹기 쉽다.
33,刚刚,gāng gāng,방금,강강,我刚刚到家。,나 방금 집에 왔어.,wǒ gāng gāng dào jiā。,你是不是刚刚发的消息？,너 방금 메시지 보낸 거야?,nǐ shì bú shì gāng gāng fā de xiāo xī？,我刚刚看完，等会儿回你。,나 방금 다 봤고 이따 답할게.,wǒ gāng gāng kàn wán， děng huì er huí nǐ。,我刚……,,,“刚刚”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
34,菜市场,cài shì chǎng,재래시장,채시장,我早上刚去菜市场买了点菜。,나 아침에 재래시장 가서 반찬거리 좀 사 왔어.,wǒ zǎo shàng gāng qù cài shì chǎng mǎi le diǎn cài。,你家附近有菜市场吗？,너희 집 근처에 재래시장 있어?,nǐ jiā fù jìn yǒu cài shì chǎng ma？,下班以后我们顺路去一趟菜市场吧。,퇴근하고 가는 길에 시장 한번 들르자.,xià bān yǐ hòu wǒ men shùn lù qù yī tàng cài shì chǎng ba。,,,,“菜市场”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 菜市场” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
35,以后,yǐ hòu,이후,이후,这件事以后再说。,이 일은 나중에 다시 얘기하자.,zhè jiàn shì yǐ hòu zài shuō。,你以后还想去吗？,너 나중에도 또 가고 싶어?,nǐ yǐ hòu hái xiǎng qù ma？,下班以后我们去吃饭吧。,퇴근하고 나서 우리 밥 먹자.,xià bān yǐ hòu wǒ men qù chī fàn ba。,……以后，再……,,,“以后”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
36,咖啡店,kā fēi diàn,카페,가배점,楼下新开了一家咖啡店。,아래층에 카페 하나 새로 생겼어.,lóu xià xīn kāi le yī jiā kā fēi diàn。,你想不想去咖啡店坐一会儿？,카페 가서 좀 앉아 있을래?,nǐ xiǎng bù xiǎng qù kā fēi diàn zuò yī huì er？,我先在咖啡店等你，你到了给我发消息。,나 먼저 카페에서 기다릴게. 도착하면 연락해.,wǒ xiān zài kā fēi diàn děng nǐ， nǐ dào le gěi wǒ fā xiāo xī。,,,,“咖啡店”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 咖啡店” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
37,路线,lù xiàn,노선,노선,这条路线我已经看过了。,이 경로는 이미 봤어.,zhè tiáo lù xiàn wǒ yǐ jīng kàn guò le。,你觉得这条路线怎么样？,이 경로는 어때 보여?,nǐ jué de zhè tiáo lù xiàn zěn me yàng？,如果太绕的话，我们换条路线。,너무 돌아가면 다른 경로로 바꾸자.,rú guǒ tài rào de huà， wǒ men huàn tiáo lù xiàn。,你觉得……怎么样？,我已经……了,……过,“路线”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
38,估计,gū jì,아마/추측하다,고계,我估计他还得一会儿。,내 생각엔 걔가 좀 더 걸릴 것 같아.,wǒ gū jì tā hái děi yī huì er。,你估计几点能到？,너는 몇 시쯤 도착할 것 같아?,nǐ gū jì jǐ diǎn néng dào？,路上要是不堵，我估计半小时就够。,길만 안 막히면 내 생각엔 30분이면 돼.,lù shàng yào shì bù dǔ， wǒ gū jì bàn xiǎo shí jiù gòu。,,,,“估计”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
39,香蕉,xiāng jiāo,바나나,향초,我早上一般会吃根香蕉。,나는 아침에 보통 바나나 한 개를 먹는다.,wǒ zǎo shàng yì bān huì chī gēn xiāng jiāo。,你要不要顺手买点香蕉？,가는 김에 바나나 좀 살래?,nǐ yào bù yào shùn shǒu mǎi diǎn xiāng jiāo？,如果运动完了，吃根香蕉也不错。,운동 끝나고 나면 바나나 하나 먹는 것도 괜찮다.,rú guǒ yùn dòng wán le， chī gēn xiāng jiāo yě bù cuò。,要不……,,,“香蕉”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
40,刷牙,shuā yá,이를 닦다,쇄아,我刚刷牙了。,나 방금 양치했어.,wǒ gāng shuā yá le。,你早上刷牙了吗？,아침에 양치했어?,nǐ zǎo shàng shuā yá le ma？,太困也得先刷牙再睡。,너무 졸려도 양치는 하고 자야지.,tài kùn yě děi xiān shuā yá zài shuì。,我刚……,,,“刷牙”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
41,路口,lù kǒu,교차로,노구,过了前面那个路口就到了。,앞에 있는 교차로만 지나면 도착해.,guò le qián miàn nà ge lù kǒu jiù dào le。,我们是在这个路口等吗？,우리 이 교차로에서 기다리는 거야?,wǒ men shì zài zhè ge lù kǒu děng ma？,你别急，到了路口我再发定位给你。,너무 서두르지 마. 교차로 도착하면 내가 위치 다시 보낼게.,nǐ bié jí， dào le lù kǒu wǒ zài fā dìng wèi gěi nǐ。,……过,,,“路口”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
42,租,zū,빌리다,조,我们先租一天试试。,우리 일단 하루만 빌려서 써 보자.,wǒ men xiān zū yī tiān shì shì。,这个车按天租还是按小时租？,"이 차는 하루 단위로 빌려, 아니면 시간 단위야?",zhè ge chē àn tiān zū hái shì àn xiǎo shí zū？,要是价格合适，我们就租下来。,가격 괜찮으면 그냥 빌리자.,yào shì jià gé hé shì， wǒ men jiù zū xià lái。,,,,“租”는 방·차·물건을 빌릴 때 아주 자주 쓰는 핵심 동사다.,“租房 / 租车 / 租一天”처럼 목적어와 시간만 바꿔도 바로 응용된다.
43,红绿灯,hóng lǜ dēng,신호등,홍록등,过了前面的红绿灯就到了。,앞 신호등만 지나면 도착이다.,guò le qián miàn de hóng lǜ dēng jiù dào le。,这儿红绿灯怎么这么久才变？,여기 신호등은 왜 이렇게 늦게 바뀌어?,zhè ér hóng lǜ dēng zěn me zhè me jiǔ cái biàn？,你就在红绿灯那儿等我就行。,너는 신호등 있는 데서 나 기다리면 돼.,nǐ jiù zài hóng lǜ dēng nà ér děng wǒ jiù xíng。,……过,,,“红绿灯”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
44,搬家,bān jiā,이사하다,반가,我下个月要搬家。,나 다음 달에 이사해.,wǒ xià gè yuè yào bān jiā。,你搬家时间定了吗？,너 이사 날짜 정했어?,nǐ bān jiā shí jiān dìng le ma？,搬家那天我可以去帮你。,이사하는 날 내가 도와줄 수 있어.,bān jiā nà tiān wǒ kě yǐ qù bāng nǐ。,,,,“搬家”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
