번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
11,洗手间,xǐ shǒu jiān,화장실,세수간,我去洗手间洗个手。,나 세면실 가서 손 좀 씻고 올게.,wǒ qù xǐ shǒu jiān xǐ gè shǒu。,洗手间现在有人吗？,지금 세면실에 사람 있어?,xǐ shǒu jiān xiàn zài yǒu rén ma？,你先去洗手间吧，我在外面等你。,"너 먼저 세면실 가, 나는 밖에서 기다릴게.",nǐ xiān qù xǐ shǒu jiān ba， wǒ zài wài miàn děng nǐ。,,,,“洗手间”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 洗手间” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
12,上午,shàng wǔ,오전,상오,上午我得先开个会。,오전에는 먼저 회의 하나 해야 해.,shàng wǔ wǒ děi xiān kāi gè huì。,你上午忙吗？,너 오전에 바빠?,nǐ shàng wǔ máng ma？,如果上午忙完的话，我们中午见。,오전에 일 끝나면 점심에 보자.,rú guǒ shàng wǔ máng wán de huà， wǒ men zhōng wǔ jiàn。,如果……的话，……,,,“上午”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
13,相机,xiàng jī,카메라,상기,这台相机拍出来挺清楚的。,이 카메라는 찍으면 꽤 선명하게 나온다.,zhè tái xiàng jī pāi chū lái tǐng qīng chǔ de。,你今天带相机了吗？,너 오늘 카메라 가져왔어?,nǐ jīn tiān dài xiàng jī le ma？,如果你想拍夜景，最好还是带相机。,야경 찍고 싶으면 아무래도 카메라를 챙기는 게 좋다.,rú guǒ nǐ xiǎng pāi yè jǐng， zuì hǎo hái shì dài xiàng jī。,,,,“相机”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
14,鼻子,bí zi,코,비자,我鼻子有点堵，说话都不太顺。,코가 좀 막혀서 말하기도 불편해.,wǒ bí zi yǒu diǎn dǔ， shuō huà dōu bù tài shùn。,你鼻子是不是还不通气？,코 아직 막혀 있어?,nǐ bí zi shì bú shì hái bù tōng qì？,要是鼻子一直不舒服，就早点休息。,코가 계속 불편하면 빨리 쉬어.,yào shì bí zi yì zhí bù shū fú， jiù zǎo diǎn xiū xī。,有点……,不太……,一直……,“鼻子”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
15,照片,zhào piān,사진,조편,这张照片我刚收到。,이 사진은 방금 받았다.,zhè zhāng zhào piān wǒ gāng shōu dào。,你看到我发的照片了吗？,내가 보낸 사진 봤어?,nǐ kàn dào wǒ fā de zhào piān le ma？,如果你喜欢这张照片，我把原图发你。,네가 이 사진 마음에 들면 원본을 보내 줄게.,rú guǒ nǐ xǐ huān zhè zhāng zhào piān， wǒ bǎ yuán tú fā nǐ。,,,,“照片”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
16,下午,xià wǔ,오후,하오,下午我想早点回去。,오후에는 좀 일찍 들어가고 싶어.,xià wǔ wǒ xiǎng zǎo diǎn huí qù。,你下午方便出来吗？,너 오후에 나올 수 있어?,nǐ xià wǔ fāng biàn chū lái ma？,如果下午方便的话，我们见一面。,오후에 괜찮으면 한번 보자.,rú guǒ xià wǔ fāng biàn de huà， wǒ men jiàn yí miàn。,我想……,如果……的话，……,,“下午”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
17,办公室,bàn gōng shì,사무실,판공실,我现在在办公室。,나 지금 사무실에 있어.,wǒ xiàn zài zài bàn gōng shì。,你到办公室了吗？,사무실 도착했어?,nǐ dào bàn gōng shì le ma？,到了办公室以后直接找我。,사무실 도착하면 바로 나 찾아와.,dào le bàn gōng shì yǐ hòu zhí jiē zhǎo wǒ。,,,,“办公室”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 办公室” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
18,飞机,fēi jī,비행기,비기,我们这次坐飞机过去。,이번에는 비행기 타고 가.,wǒ men zhè cì zuò fēi jī guò qù。,你们坐几点的飞机？,너희 몇 시 비행기 타?,nǐ men zuò jǐ diǎn de fēi jī？,如果飞机晚点的话，我再告诉你。,비행기가 지연되면 내가 다시 알려줄게.,rú guǒ fēi jī wǎn diǎn de huà， wǒ zài gào sù nǐ。,……过,如果……的话，……,,“飞机”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
19,语音,yǔ yīn,음성,어음,我刚给你发了条语音。,내가 방금 음성 메시지 하나 보냈다.,wǒ gāng gěi nǐ fā le tiáo yǔ yīn。,你现在方便听语音吗？,너 지금 음성 들을 수 있어?,nǐ xiàn zài fāng biàn tīng yǔ yīn ma？,要是不方便听语音，你晚点再听也行。,음성 듣기 불편하면 좀 이따 들어도 돼.,yào shì bù fāng biàn tīng yǔ yīn， nǐ wǎn diǎn zài tīng yě xíng。,现在方便吗？,我刚……,,“语音”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
20,早上,zǎo shàng,아침,조상,早上我一般不太说话。,아침에는 보통 말이 별로 없어.,zǎo shàng wǒ yì bān bù tài shuō huà。,你早上几点出门？,아침에 몇 시에 나가?,nǐ zǎo shàng jǐ diǎn chū mén？,如果早上太赶的话，就别做早饭了。,아침에 너무 바쁘면 아침은 하지 마.,rú guǒ zǎo shàng tài gǎn de huà， jiù bié zuò zǎo fàn le。,不太……,太……了,如果……的话，……,“早上”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
21,公园,gōng yuán,공원,공원,今天天气不错，去公园走走吧。,오늘 날씨 좋으니까 공원 좀 걸을까?,jīn tiān tiān qì bù cuò， qù gōng yuán zǒu zǒu ba。,你家附近有公园吗？,네 집 근처에 공원 있어?,nǐ jiā fù jìn yǒu gōng yuán ma？,我吃完饭想去公园散个步。,나 밥 먹고 공원에 산책하러 가고 싶어.,wǒ chī wán fàn xiǎng qù gōng yuán sàn gè bù。,,,,“公园”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 公园” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
22,车票,chē piào,표,차표,车票我已经买好了。,표는 내가 이미 사 놨어.,chē piào wǒ yǐ jīng mǎi hǎo le。,你的车票订到几点的？,네 표는 몇 시 걸로 예매했어?,nǐ de chē piào dìng dào jǐ diǎn de？,车票别删，进站的时候还要看。,표 지우지 마. 들어갈 때 또 보여 줘야 해.,chē piào bié shān， jìn zhàn de shí hòu hái yào kàn。,我已经……了,,,“车票”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
23,注意,zhù yì,주의하다,주의,这个细节你要多注意。,이 부분은 좀 더 신경 써야 해.,zhè ge xì jié nǐ yào duō zhù yì。,你注意到他刚才说的吗？,아까 그가 한 말 눈치챘어?,nǐ zhù yì dào tā gāng cái shuō de ma？,出门以后注意安全，到了给我发个消息。,"밖에 나가면 조심하고, 도착하면 메시지 보내.",chū mén yǐ hòu zhù yì ān quán， dào le gěi wǒ fā gè xiāo xī。,如果……的话，……,,,“注意”는 조심하라고 말하거나 뭔가를 알아차렸다고 말할 때 매우 자주 쓰인다.,“注意安全 / 注意细节 / 注意到没有”처럼 덩어리째 익히면 회화에 바로 붙는다.
24,咖啡,kā fēi,커피,가배,我下午不喝咖啡会犯困。,나는 오후에 커피를 안 마시면 졸리다.,wǒ xià wǔ bù hē kā fēi huì fàn kùn。,你今天想喝冰咖啡还是热咖啡？,"오늘은 아이스커피 마실래, 따뜻한 커피 마실래?",nǐ jīn tiān xiǎng hē bīng kā fēi hái shì rè kā fēi？,要不我先去买咖啡，你在这儿等我。,내가 먼저 커피 사 올 테니 너는 여기서 기다려.,yào bù wǒ xiān qù mǎi kā fēi， nǐ zài zhè ér děng wǒ。,要不……,,,“咖啡”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
25,小心,xiǎo xīn,조심하다,소심,下楼的时候小心一点。,내려갈 때 좀 조심해.,xià lóu de shí hòu xiǎo xīn yì diǎn。,这边路有点滑，你能不能小心点？,"여기 길이 좀 미끄러운데, 좀 조심해줄래?",zhè biān lù yǒu diǎn huá， nǐ néng bù néng xiǎo xīn diǎn？,天黑以后看不太清，还是小心一点比较好。,"어두워지면 잘 안 보이니까, 그래도 좀 조심하는 게 좋아.",tiān hēi yǐ hòu kàn bù tài qīng， hái shì xiǎo xīn yì diǎn bǐ jiào hǎo。,能不能……？,有点……,不太……,“小心”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
26,牛奶,niú nǎi,우유,우내,冰箱里还有一盒牛奶。,냉장고에 우유 한 팩 남아 있어.,bīng xiāng lǐ hái yǒu yī hé niú nǎi。,你早上习惯喝牛奶吗？,너 아침에 우유 마시는 편이야?,nǐ zǎo shàng xí guàn hē niú nǎi ma？,牛奶快到期了，今晚记得喝掉。,우유 곧 유통기한이니까 오늘 밤에 마셔.,niú nǎi kuài dào qī le， jīn wǎn jì de hē diào。,,,,“牛奶”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
27,适合,shì hé,어울리다,적합,这家店挺适合聊天的。,이 가게는 이야기하기에 꽤 괜찮아.,zhè jiā diàn tǐng shì hé liáo tiān de。,你觉得这个时间适合见面吗？,너는 이 시간이 만나기에 괜찮다고 생각해?,nǐ jué de zhè ge shí jiān shì hé jiàn miàn ma？,如果要走很多路，还是穿运动鞋比较适合。,많이 걸어야 하면 그래도 운동화를 신는 게 더 맞아.,rú guǒ yào zǒu hěn duō lù， hái shì chuān yùn dòng xié bǐ jiào shì hé。,比较……,A 比 B ……,,“适合”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
28,延误,yán wù,지연,연오,航班今天有点延误。,오늘 항공편이 좀 지연됐어.,háng bān jīn tiān yǒu diǎn yán wù。,现在延误多久了？,지금 얼마나 지연됐어?,xiàn zài yán wù duō jiǔ le？,如果一直延误的话，我们先找个地方坐。,계속 지연되면 우리 먼저 앉을 곳 찾자.,rú guǒ yì zhí yán wù de huà， wǒ men xiān zhǎo gè dì fāng zuò。,有点……,如果……的话，……,一直……,“延误”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
29,习惯,xí guàn,습관,습관,我已经习惯早起了。,나 이제 일찍 일어나는 데 익숙해졌어.,wǒ yǐ jīng xí guàn zǎo qǐ le。,你有睡前看手机的习惯吗？,너 자기 전에 휴대폰 보는 습관 있어?,nǐ yǒu shuì qián kàn shǒu jī de xí guàn ma？,习惯了以后，就不太好改了。,습관이 들고 나면 바꾸기가 쉽지 않아.,xí guàn le yǐ hòu， jiù bù tài hǎo gǎi le。,我已经……了,不太……,,“习惯”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
30,果汁,guǒ zhī,주스,과즙,天热的时候我就想喝果汁。,날이 더우면 나는 과즙 음료가 당긴다.,tiān rè de shí hòu wǒ jiù xiǎng hē guǒ zhī。,你要冰的果汁还是常温的？,"차가운 주스 마실래, 상온 주스 마실래?",nǐ yào bīng de guǒ zhī hái shì cháng wēn de？,要不我们先买两杯果汁带走。,우리 일단 주스 두 잔 사서 들고 가자.,yào bù wǒ men xiān mǎi liǎng bēi guǒ zhī dài zǒu。,要不……,,,“果汁”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
31,愿意,yuàn yì,기꺼이 하다/의향이 있다,원의,只要你愿意，我现在就陪你去。,네가 원하면 내가 지금 바로 같이 가 줄게.,zhǐ yào nǐ yuàn yì， wǒ xiàn zài jiù péi nǐ qù。,你愿意再试一次吗？,너 다시 한 번 해 볼래?,nǐ yuàn yì zài shì yī cì ma？,如果你愿意的话，我们今天就把这事定下来。,네가 괜찮다면 우리 오늘 이 일을 정하자.,rú guǒ nǐ yuàn yì de huà， wǒ men jīn tiān jiù bǎ zhè shì dìng xià lái。,只要……就……,如果……的话，,,“愿意”는 마음이나 의향을 말할 때 자주 쓰는 핵심 회화 표현이다.,“愿意不愿意 / 只要你愿意”처럼 통째로 익히면 실전 대화에서 매우 유용하다.
32,可乐,kě lè,콜라,가락,我偶尔会喝一点可乐。,나는 가끔 콜라를 조금 마신다.,wǒ ǒu ěr huì hē yì diǎn kě lè。,你现在想喝可乐吗？,너 지금 콜라 마시고 싶어?,nǐ xiàn zài xiǎng hē kě lè ma？,吃炸鸡的话，配可乐也挺合适的。,치킨 먹을 때는 콜라가 잘 어울린다.,chī zhà jī de huà， pèi kě lè yě tǐng hé shì de。,,,,“可乐”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
33,起床,qǐ chuáng,일어나다,기상,我今天差点没起床。,오늘 진짜 못 일어날 뻔했어.,wǒ jīn tiān chà diǎn méi qǐ chuáng。,你平时几点起床？,너 평소엔 몇 시에 일어나?,nǐ píng shí jǐ diǎn qǐ chuáng？,明天要早点起床的话，今晚早点睡。,내일 일찍 일어나야 하면 오늘 밤 일찍 자.,míng tiān yào zǎo diǎn qǐ chuáng de huà， jīn wǎn zǎo diǎn shuì。,,,,“起床”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
34,水果,shuǐ guǒ,과일,수과,我最近晚上都会吃点水果。,나는 요즘 밤마다 과일을 조금 먹는다.,wǒ zuì jìn wǎn shàng dū huì chī diǎn shuǐ guǒ。,你家里还有水果吗？,집에 과일 남아 있어?,nǐ jiā lǐ hái yǒu shuǐ guǒ ma？,要是不想吃太油，就切点水果吧。,너무 기름진 거 먹기 싫으면 과일이나 좀 썰자.,yào shì bù xiǎng chī tài yóu， jiù qiē diǎn shuǐ guǒ ba。,,,,“水果”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
35,洗澡,xǐ zǎo,샤워하다,세조,我回家先洗澡，等会儿再回你。,집에 가서 먼저 씻고 이따 다시 답할게.,wǒ huí jiā xiān xǐ zǎo， děng huì er zài huí nǐ。,你洗澡了吗？,너 샤워했어?,nǐ xǐ zǎo le ma？,洗澡以后我就睡了。,씻고 나면 바로 잘 거야.,xǐ zǎo yǐ hòu wǒ jiù shuì le。,,,,“洗澡”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
36,司机,sī jī,기사,사기,司机刚打电话说快到了。,기사님이 방금 거의 도착했다고 전화했어.,sī jī gāng dǎ diàn huà shuō kuài dào le。,司机找得到这边吗？,기사님 여기 잘 찾을 수 있대?,sī jī zhǎo de dào zhè biān ma？,司机到了以后你给我发个消息。,기사님 도착하면 나한테 메시지 줘.,sī jī dào le yǐ hòu nǐ gěi wǒ fā gè xiāo xī。,,,,"“司机”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟司机说 / 问司机 / 找司机”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
37,累,lèi,피곤하다,루,我今天真的有点累。,나 오늘 진짜 좀 피곤해.,wǒ jīn tiān zhēn de yǒu diǎn lèi。,你是不是也累了？,너도 피곤하지?,nǐ shì bú shì yě lèi le？,累的话就早点回去休息。,피곤하면 일찍 돌아가서 쉬어.,lèi de huà jiù zǎo diǎn huí qù xiū xī。,有点……,,,“累”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 累” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
38,打算,dǎ suàn,계획하다/생각이다,타산,我这周打算先把手上的事忙完。,나 이번 주에는 손에 든 일부터 먼저 끝낼 생각이야.,wǒ zhè zhōu dǎ suàn xiān bǎ shǒu shàng de shì máng wán。,你周末打算做什么？,너 주말에 뭐 할 생각이야?,nǐ zhōu mò dǎ suàn zuò shén me？,如果你打算搬家，提前跟我说一声。,네가 이사할 생각이면 미리 말해 줘.,rú guǒ nǐ dǎ suàn bān jiā， tí qián gēn wǒ shuō yī shēng。,我打算……,如果……的话，,,“打算”은 앞으로 할 일을 편하게 말할 때 가장 자주 쓰는 회화 단어 중 하나다.,“打算 + 동사” 형태로 사람·시간·장소만 바꿔서 연습하면 바로 써먹기 좋다.
39,还没,hái méi,아직 안,환몰,我还没收拾好。,나 아직 정리 못 끝냈어.,wǒ hái mò shōu shí hǎo。,你还没出门吗？,너 아직 안 나왔어?,nǐ hái méi chū mén ma？,我还没想好，晚点再说。,나 아직 생각이 안 정리됐어. 좀 이따 말하자.,wǒ hái méi xiǎng hǎo， wǎn diǎn zài shuō。,我还没……,,,"“还没”는 문장을 부드럽게 이어 주거나, 말투를 조절해 주는 고빈도 표현이다.",비슷한 내용도 “还没” 하나로 말맛이 달라지므로 짧은 문장째 통으로 익히는 게 좋다.
40,窗户,chuāng hù,창문,창호,我刚把窗户打开透了透气。,나 방금 창문 열어서 환기 좀 시켰어.,wǒ gāng bǎ chuāng hù dǎ kāi tòu le tòu qì。,窗户要不要再开大一点？,창문을 좀 더 크게 열까?,chuāng hù yào bù yào zài kāi dà yī diǎn？,外面太吵的话，就把窗户关上。,밖이 너무 시끄러우면 창문을 닫자.,wài miàn tài chǎo de huà， jiù bǎ chuāng hù guān shàng。,我刚……,要不……,,“窗户”는 집이나 밖에서 찾고 챙기고 놓고 쓰는 상황에서 자주 나온다.,찾기·챙기기·두기·꺼내기 같은 쉬운 동사와 함께 문장째 익히면 활용도가 높다.
41,舒服,shū fú,편하다,서복,今天吹着风挺舒服的。,오늘 바람 맞으니까 꽤 기분 좋고 편해.,jīn tiān chuī zháo fēng tǐng shū fú de。,你坐这儿舒服吗？,여기 앉아 있으니까 편해?,nǐ zuò zhè ér shū fú ma？,不舒服的话你就换个位置。,불편하면 자리 바꿔.,bù shū fú de huà nǐ jiù huàn gè wèi zhì。,,,,“舒服”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 舒服” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
42,客户,kè hù,고객,고호,客户刚回我消息。,클라이언트가 방금 내 메시지에 답했어.,kè hù gāng huí wǒ xiāo xī。,客户那边改时间了吗？,고객 쪽 시간 바뀌었어?,kè hù nà biān gǎi shí jiān le ma？,客户要是同意，我们今天就能定下来。,클라이언트가 동의하면 오늘 바로 정할 수 있어.,kè hù yào shì tóng yì， wǒ men jīn tiān jiù néng dìng xià lái。,,,,"“客户”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟客户说 / 问客户 / 找客户”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
43,难受,nán shòu,괴롭다,난수,我胃有点难受。,나 위가 좀 불편해.,wǒ wèi yǒu diǎn nán shòu。,你现在还难受吗？,너 지금도 아직 힘들어?,nǐ xiàn zài hái nán shòu ma？,难受的话今天就别去了。,불편하면 오늘은 가지 마.,nán shòu de huà jīn tiān jiù bié qù le。,有点……,,,“难受”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 难受” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
