번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
14,经验,jīngyàn,경험,경험,他的工作经验很丰富。,그의 업무 경험이 매우 풍부해.,Tā de gōngzuò jīngyàn hěn fēngfù.,你有没有相关的经验？,관련 경험이 있어?,Nǐ yǒu méiyǒu xiāngguān de jīngyàn?,没有经验也没关系，慢慢学就好了。,"경험 없어도 괜찮아, 천천히 배우면 돼.","Méiyǒu jīngyàn yě méi guānxi, mànmàn xué jiù hǎo le.",,,,"면접, 업무 대화에서 핵심 단어. '有经验/没经验'으로 자주 사용.",'经验丰富(경험이 풍부하다)'는 자주 쓰이는 칭찬 표현.
15,来不及,láibují,시간이 부족하다,래불급,来不及了，我们打车吧。,"시간 없어, 우리 택시 타자.","Láibují le, wǒmen dǎchē ba.",现在出发还来得及吗？,지금 출발하면 아직 시간이 돼?,Xiànzài chūfā hái láidejí ma?,因为起晚了，所以来不及吃早饭。,"늦게 일어나서, 아침 먹을 시간이 없었어.","Yīnwèi qǐ wǎn le, suǒyǐ láibují chī zǎofàn.",因为……所以……,那就……吧,,"약속, 출근 등 시간에 쫓길 때 매우 자주 쓰이는 표현.",반대말 '来得及(시간이 된다)'도 함께 익히면 좋음.
16,安排,ānpái,"배치하다, 계획을 잡다",안배,你明天有什么安排？,내일 무슨 계획 있어?,Nǐ míngtiān yǒu shénme ānpái?,这件事我已经安排好了。,이 일은 내가 이미 다 잡아뒀어.,Zhè jiàn shì wǒ yǐjīng ānpái hǎo le.,要不我来安排吧，你别操心了。,"아니면 내가 잡을게, 너 걱정하지 마.","Yào bù wǒ lái ānpái ba, nǐ bié cāoxīn le.",我已经……了,要不……,,"약속, 일정 관련 대화에서 핵심 단어. 명사/동사 모두 가능.",'安排好了(다 잡아뒀어)'는 완료 표현으로 매우 자주 쓰임.
17,误会,wùhuì,오해하다; 오해,오회,你误会我了。,너 나를 오해한 거야.,Nǐ wùhuì wǒ le.,是不是有什么误会？,무슨 오해가 있는 거 아냐?,Shì bú shì yǒu shénme wùhuì?,怪不得他生气了，原来是误会了。,"어쩐지 그가 화났더라니, 알고 보니 오해였어.","Guàibude tā shēngqì le, yuánlái shì wùhuì le.",怪不得……,,,인간관계 갈등 상황에서 자주 등장하는 핵심 단어.,'别误会(오해하지 마)'는 해명할 때 자주 쓰는 표현.
18,占,zhàn,차지하다,점,这个占了太多时间。,이게 시간을 너무 많이 차지해.,Zhège zhàn le tài duō shíjiān.,手机占了你多少时间？,핸드폰이 너의 시간을 얼마나 차지해?,Shǒujī zhàn le nǐ duōshao shíjiān?,房租占了工资的一半，压力真大。,"집세가 월급의 절반을 차지해서, 부담이 정말 커.","Fángzū zhàn le gōngzī de yíbàn, yālì zhēn dà.",太……了,,,"시간, 돈, 비율을 말할 때 자주 사용하는 동사.",'占+비율/분수'로 비중을 표현할 때 핵심 동사.
19,丰富,fēngfù,풍부하다,풍부,这家餐厅的菜单很丰富。,이 식당의 메뉴가 매우 풍부해.,Zhè jiā cāntīng de càidān hěn fēngfù.,你觉得这里的夜生活丰富吗？,여기 야간 생활이 풍부하다고 생각해?,Nǐ juéde zhèlǐ de yèshēnghuó fēngfù ma?,当然想去，那边活动比较丰富。,"당연히 가고 싶지, 거기는 활동이 비교적 풍부해.","Dāngrán xiǎng qù, nàbiān huódòng bǐjiào fēngfù.",当然……,比较……,,"경험, 메뉴, 활동 등 다양한 명사와 결합해 자주 사용.","'经验丰富(경험 풍부)', '内容丰富(내용 풍부)' 등 고빈도 조합이 많음."
20,推迟,tuīchí,"미루다, 연기하다",추지,会议推迟到下周了。,회의가 다음 주로 연기됐어.,Huìyì tuīchí dào xià zhōu le.,能不能推迟一天？,하루 미룰 수 있어?,Néng bù néng tuīchí yì tiān?,如果下雨的话，活动就推迟吧。,"비가 오면, 활동을 미루자.","Rúguǒ xiàyǔ de huà, huódòng jiù tuīchí ba.",能不能……？,如果……的话，……,那就……吧,"회의, 약속, 행사 등 일정 변경 시 자주 사용.",'推迟到+시간'으로 '~까지 연기하다'를 표현.
21,降低,jiàngdī,"낮추다, 줄이다",강저,最近物价降低了一点。,최근 물가가 좀 내려갔어.,Zuìjìn wùjià jiàngdī le yìdiǎn.,能不能降低一点价格？,가격을 좀 낮출 수 있어?,Néng bù néng jiàngdī yìdiǎn jiàgé?,多运动可以降低生病的风险。,운동을 많이 하면 병에 걸릴 위험을 줄일 수 있어.,Duō yùndòng kěyǐ jiàngdī shēngbìng de fēngxiǎn.,能不能……？,,,"가격, 위험, 비용 등을 낮출 때 사용하는 핵심 동사.",'降低+명사' 구조로 다양한 상황에 활용 가능.
22,压力,yālì,"스트레스, 압박",압력,最近工作压力有点大。,최근 업무 스트레스가 좀 커.,Zuìjìn gōngzuò yālì yǒudiǎn dà.,你压力大的时候一般怎么放松？,스트레스 클 때 보통 어떻게 풀어?,Nǐ yālì dà de shíhou yìbān zěnme fàngsōng?,不管压力多大，也要好好吃饭。,"스트레스가 아무리 커도, 밥은 잘 먹어야 해.","Bùguǎn yālì duō dà, yě yào hǎohāo chīfàn.",有点……,不管……都/也……,一般来说……,"직장, 학교, 생활 스트레스를 표현할 때 자주 사용하는 핵심 명사.",'压力大/压力小'로 정도를 표현.
23,羡慕,xiànmù,부러워하다,선모,我真羡慕你。,나 정말 부러워.,Wǒ zhēn xiànmù nǐ.,你羡慕什么样的生活？,어떤 생활이 부러워?,Nǐ xiànmù shénme yàng de shēnghuó?,他每天不用加班，太让人羡慕了。,"그는 매일 야근 안 해도 돼, 너무 부럽다.","Tā měitiān bú yòng jiābān, tài ràng rén xiànmù le.",太……了,,,다른 사람의 상황이 부러울 때 쓰는 감정 표현. 일상에서 매우 고빈도.,'让人羡慕(사람을 부럽게 하다)'는 감탄 표현으로 자주 사용.
24,及时,jíshí,"제때, 적시에",급시,幸好你及时提醒了我。,다행히 네가 제때 알려줬어.,Xìnghǎo nǐ jíshí tíxǐng le wǒ.,有问题要及时说，别憋着。,"문제 있으면 바로 말해, 참지 마.","Yǒu wèntí yào jíshí shuō, bié biēzhe.",多亏你及时赶到，不然就来不及了。,"네가 제때 도착한 덕분이야, 안 그랬으면 늦을 뻔했어.","Duōkuī nǐ jíshí gǎndào, bùrán jiù láibují le.",,,,'及时+동사'로 '제때 ~하다'를 표현. 칭찬이나 감사 표현에 자주 사용.,"'及时处理(제때 처리하다)', '及时回复(제때 답하다)' 등 업무에서도 자주 쓰임."
25,耐心,nàixīn,"인내심, 참을성",내심,他对孩子特别有耐心。,그는 아이들에게 특히 인내심이 있어.,Tā duì háizi tèbié yǒu nàixīn.,你能不能再耐心等一下？,조금만 더 참고 기다려줄 수 있어?,Nǐ néng bù néng zài nàixīn děng yíxià?,学语言需要耐心，急不来的。,"언어를 배우는 건 인내심이 필요해, 급하면 안 돼.","Xué yǔyán xūyào nàixīn, jí bù lái de.",能不能……？,我需要……,,'有耐心/没耐心'으로 성격을 묘사할 때 자주 사용.,명사(인내심)와 형용사(참을성 있는) 두 가지로 사용 가능.
26,顺利,shùnlì,순조롭다,순리,一切都很顺利。,모든 게 순조로워.,Yíqiè dōu hěn shùnlì.,面试顺利吗？,면접 잘 됐어?,Miànshì shùnlì ma?,希望你这次出差一切顺利。,이번 출장 모든 게 순조롭길 바라.,Xīwàng nǐ zhè cì chūchāi yíqiè shùnlì.,,,,"면접, 시험, 출장 등의 결과를 묻거나 덕담할 때 핵심 표현.","'进展顺利(진행이 순조롭다)', '一路顺利(길이 순탄하길)' 등으로 확장."
27,后悔,hòuhuǐ,후회하다,후회,我有点后悔了。,나 좀 후회돼.,Wǒ yǒudiǎn hòuhuǐ le.,你后悔过吗？,후회한 적 있어?,Nǐ hòuhuǐ guò ma?,现在不做，以后肯定后悔。,"지금 안 하면, 나중에 분명 후회해.","Xiànzài bú zuò, yǐhòu kěndìng hòuhuǐ.",有点……,……过,,선택이나 결정 후 감정 표현에 자주 사용.,'后悔+동사'로 '~한 것을 후회하다'를 표현 가능.
28,值得,zhíde,~할 가치가 있다,치득,这部电影值得看。,이 영화는 볼 가치가 있어.,Zhè bù diànyǐng zhíde kàn.,你觉得值得吗？,가치가 있다고 생각해?,Nǐ juéde zhíde ma?,虽然贵了点，但是完全值得。,"좀 비싸긴 하지만, 완전히 가치가 있어.","Suīrán guì le diǎn, dànshì wánquán zhíde.",你觉得……怎么样？,,,'值得+동사'로 '~할 가치가 있다'를 표현. 추천할 때 자주 사용.,'值得一试(한번 시도해 볼 가치가 있다)'도 자주 쓰이는 표현.
29,适应,shìyìng,적응하다,적응,我还没适应这里的气候。,아직 여기 기후에 적응 못 했어.,Wǒ hái méi shìyìng zhèlǐ de qìhòu.,新工作适应了吗？,새 직장 적응했어?,Xīn gōngzuò shìyìng le ma?,刚开始有点不适应，过一段时间就好了。,"처음에는 좀 적응이 안 됐는데, 시간이 좀 지나니까 괜찮아졌어.","Gāng kāishǐ yǒudiǎn bú shìyìng, guò yí duàn shíjiān jiù hǎo le.",我还没……,有点……,,"새 환경(직장, 도시, 날씨)에 대해 이야기할 때 핵심 동사.","'适应环境(환경에 적응하다)', '适应生活(생활에 적응하다)' 등으로 확장."
30,随便,suíbiàn,"마음대로, 아무렇게나",수편,吃什么都行，我随便。,"뭘 먹든 상관없어, 나 아무거나.","Chī shénme dōu xíng, wǒ suíbiàn.",要不随便找个地方坐坐？,아무 데나 찾아서 앉을까?,Yào bù suíbiàn zhǎo ge dìfang zuòzuo?,别随便答应别人，先想清楚。,"함부로 남에게 약속하지 마, 먼저 잘 생각해.","Bié suíbiàn dāying biéren, xiān xiǎng qīngchu.",要不……,,,"식사, 쇼핑 등에서 선택을 양보할 때 매우 자주 쓰이는 표현.",'随便你(네 맘대로 해)'도 일상에서 매우 고빈도.
