번호,단어,병음,뜻,음독,예문1_중국어,예문1_한국어,예문1_병음,예문2_중국어,예문2_한국어,예문2_병음,예문3_중국어,예문3_한국어,예문3_병음,자주쓰는패턴1,자주쓰는패턴2,자주쓰는패턴3,학습포인트1,학습포인트2
11,鼠标,shǔ biāo,마우스,서표,我的鼠标突然没反应了。,내 마우스가 갑자기 반응이 없다.,wǒ de shǔ biāo tū rán méi fǎn yìng le。,你那个鼠标好用吗？,네 마우스는 잘 돼?,nǐ nà ge shǔ biāo hǎo yòng ma？,要是连不上，你就重新插一下鼠标。,연결이 안 되면 마우스를 다시 한번 꽂아 봐.,yào shì lián bù shàng， nǐ jiù chóng xīn chā yī xià shǔ biāo。,,,,“鼠标”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
12,眼睛,yǎn jīng,눈,안정,我今天盯电脑太久了，眼睛有点酸。,오늘 컴퓨터를 너무 오래 봐서 눈이 좀 시큰해.,wǒ jīn tiān dīng diàn nǎo tài jiǔ le， yǎn jīng yǒu diǎn suān。,你眼睛还难受吗？,눈 아직 불편해?,nǐ yǎn jīng hái nán shòu ma？,眼睛不舒服就先别看手机了。,눈이 안 좋으면 일단 핸드폰 보지 마.,yǎn jīng bù shū fú jiù xiān bié kàn shǒu jī le。,有点……,太……了,,“眼睛”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
13,孩子,hái zi,아이,해자,孩子刚睡着，先小声一点。,아이가 방금 잠들었으니까 좀 조용히 해.,hái zi gāng shuì zháo， xiān xiǎo shēng yì diǎn。,孩子今天有没有发烧？,아이 오늘 열은 안 났어?,hái zi jīn tiān yǒu méi yǒu fā shāo？,孩子醒了以后我再带他出来。,아이가 깨면 그때 데리고 나올게.,hái zi xǐng le yǐ hòu wǒ zài dài tā chū lái。,……以后，再……,,,"“孩子”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟孩子说 / 问孩子 / 找孩子”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
14,出去,chū qù,나가다,출거,我出去买个东西。,나 밖에 나가서 뭐 좀 사 올게.,wǒ chū qù mǎi gè dōng xī。,你现在方便出去吗？,너 지금 밖에 나갈 수 있어?,nǐ xiàn zài fāng biàn chū qù ma？,外面太冷的话就别出去了。,밖이 너무 추우면 나가지 마.,wài miàn tài lěng de huà jiù bié chū qù le。,现在方便吗？,太……了,,“出去”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
15,朋友,péng yǒu,친구,붕우,我昨天跟朋友吃了个饭。,나 어제 친구랑 밥 먹었어.,wǒ zuó tiān gēn péng yǒu chī le gè fàn。,你那个朋友最近怎么样？,너 그 친구 요즘 어때?,nǐ nà ge péng yǒu zuì jìn zěn me yàng？,有空的话，叫上朋友一起出来坐坐。,시간 되면 친구도 불러서 같이 보자.,yǒu kòng de huà， jiào shàng péng yǒu yì qǐ chū lái zuò zuò。,,,,"“朋友”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟朋友说 / 问朋友 / 找朋友”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
16,胃口,wèi kǒu,입맛,위구,我今天胃口不太好。,오늘은 입맛이 별로 없어.,wǒ jīn tiān wèi kǒu bù tài hǎo。,你最近胃口怎么样？,요즘 입맛 어때?,nǐ zuì jìn wèi kǒu zěn me yàng？,如果胃口不好的话，就先吃点清淡的。,입맛 없으면 먼저 담백한 거 좀 먹어.,rú guǒ wèi kǒu bù hǎo de huà， jiù xiān chī diǎn qīng dàn de。,不太……,如果……的话，……,,“胃口”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
17,视频,shì pín,영상,시빈,这个视频我昨晚看完了。,이 영상은 내가 어젯밤에 다 봤다.,zhè ge shì pín wǒ zuó wǎn kàn wán le。,你看过这个视频没有？,너 이 영상 본 적 있어?,nǐ kàn guò zhè ge shì pín méi yǒu？,要是这个视频太长，你先看前面几分钟。,이 영상이 너무 길면 앞부분 몇 분만 먼저 봐.,yào shì zhè ge shì pín tài zhǎng， nǐ xiān kàn qián miàn jǐ fēn zhōng。,……过,,,“视频”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
18,晚上,wǎn shàng,저녁/밤,만상,晚上我一般不喝咖啡。,저녁에는 보통 커피 안 마셔.,wǎn shàng wǒ yì bān bù hē kā fēi。,你晚上还出门吗？,저녁에 또 나가?,nǐ wǎn shàng hái chū mén ma？,如果晚上不太晚的话，我们散个步。,저녁에 너무 늦지 않으면 산책하자.,rú guǒ wǎn shàng bù tài wǎn de huà， wǒ men sàn gè bù。,不太……,如果……的话，……,,“晚上”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
19,室友,shì yǒu,룸메이트,실우,我室友今天起得特别早。,내 룸메이트 오늘 엄청 일찍 일어났어.,wǒ shì yǒu jīn tiān qǐ dé tè bié zǎo。,你室友这会儿在家吗？,네 룸메이트 지금 집에 있어?,nǐ shì yǒu zhè huì er zài jiā ma？,太晚的话，我先跟室友说一声。,너무 늦으면 내가 룸메이트한테 먼저 말해둘게.,tài wǎn de huà， wǒ xiān gēn shì yǒu shuō yī shēng。,,,,"“室友”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟室友说 / 问室友 / 找室友”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
20,肚子,dǔ zi,배,두자,我早上吃坏了，肚子一直不舒服。,아침에 뭘 잘못 먹어서 배가 계속 안 좋아.,wǒ zǎo shàng chī huài le， dǔ zi yì zhí bù shū fú。,你肚子还疼吗？,배 아직 아파?,nǐ dǔ zi hái téng ma？,肚子不舒服就先别喝冰的了。,배 안 좋으면 차가운 건 일단 마시지 마.,dǔ zi bù shū fú jiù xiān bié hē bīng de le。,一直……,,,“肚子”는 몸 상태와 증상을 말할 때 바로 쓸 수 있는 표현이다.,어디가 불편한지 말하거나 병원에서 설명하는 장면과 함께 익히면 바로 써먹기 쉽다.
21,链接,liàn jiē,링크,연접,链接我刚发你了。,링크는 방금 너한테 보냈다.,liàn jiē wǒ gāng fā nǐ le。,你点开那个链接了吗？,그 링크 눌러 봤어?,nǐ diǎn kāi nà ge liàn jiē le ma？,如果打不开，我再发一次链接。,안 열리면 링크를 한 번 더 보낼게.,rú guǒ dǎ bù kāi， wǒ zài fā yī cì liàn jiē。,,,,“链接”는 휴대폰·컴퓨터·앱 문맥에서 매우 자주 나오는 표현이다.,보내기·보기·열기·수정하기 같은 조작 동사와 같이 떠올리면 실제 사용 속도가 빨라진다.
22,周末,zhōu mò,주말,주말,周末我想在家休息。,주말엔 집에서 쉬고 싶어.,zhōu mò wǒ xiǎng zài jiā xiū xī。,你周末有安排吗？,주말에 일정 있어?,nǐ zhōu mò yǒu ān pái ma？,如果周末天气好的话，我们出去走走。,주말에 날씨 좋으면 나가서 좀 걷자.,rú guǒ zhōu mò tiān qì hǎo de huà， wǒ men chū qù zǒu zǒu。,我想……,如果……的话，……,,“周末”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
23,超市,chāo shì,마트,초시,冰箱空了，我要去趟超市。,냉장고가 비어서 슈퍼에 한 번 가야겠어.,bīng xiāng kōng le， wǒ yào qù tàng chāo shì。,你家附近有大一点的超市吗？,네 집 근처에 좀 큰 마트 있어?,nǐ jiā fù jìn yǒu dà yī diǎn de chāo shì ma？,下班以后我们顺路去超市买点菜吧。,퇴근하고 가는 길에 슈퍼 들러서 장 좀 보자.,xià bān yǐ hòu wǒ men shùn lù qù chāo shì mǎi diǎn cài ba。,,,,“超市”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 超市” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
24,这周,zhè zhōu,이번 주,저주,这周我一直在加班。,이번 주는 계속 야근 중이야.,zhè zhōu wǒ yì zhí zài jiā bān。,你这周哪天有空？,이번 주는 언제 시간 돼?,nǐ zhè zhōu nǎ tiān yǒu kòng？,如果这周太忙的话，我们下周再约。,이번 주 너무 바쁘면 다음 주에 다시 잡자.,rú guǒ zhè zhōu tài máng de huà， wǒ men xià zhōu zài yuē。,如果……的话，……,一直……,,“这周”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
25,便利店,biàn lì diàn,편의점,편리점,我下楼去便利店买瓶水。,나 내려가서 편의점에서 물 한 병 사 올게.,wǒ xià lóu qù biàn lì diàn mǎi píng shuǐ。,你家楼下有便利店吗？,네 집 아래에 편의점 있어?,nǐ jiā lóu xià yǒu biàn lì diàn ma？,要是来不及做饭，我们先去便利店买点吃的。,요리할 시간이 없으면 먼저 편의점 가서 뭐 좀 사 먹자.,yào shì lái bù jí zuò fàn， wǒ men xiān qù biàn lì diàn mǎi diǎn chī de。,,,,“便利店”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 便利店” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
26,下周,xià zhōu,다음 주,하주,下周我可能有点忙。,다음 주는 좀 바쁠 수도 있어.,xià zhōu wǒ kě néng yǒu diǎn máng。,你下周哪天有空？,너 다음 주는 어느 날이 비어 있어?,nǐ xià zhōu nǎ tiān yǒu kòng？,如果下周方便的话，我们见一面。,다음 주 괜찮으면 한번 보자.,rú guǒ xià zhōu fāng biàn de huà， wǒ men jiàn yí miàn。,我可能……,有点……,可能……,“下周”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
27,药店,yào diàn,약국,약점,我要去药店买点感冒药。,나 약국 가서 감기약 좀 사 올 거야.,wǒ yào qù yào diàn mǎi diǎn gǎn mào yào。,这附近有还开着的药店吗？,이 근처에 아직 문 연 약국 있어?,zhè fù jìn yǒu hái kāi zhe de yào diàn ma？,药店要是关门了，我就明天再去。,약국이 문 닫았으면 내일 다시 갈게.,yào diàn yào shì guān mén le， wǒ jiù míng tiān zài qù。,,,,“药店”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 药店” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
28,最近,zuì jìn,최근,최근,最近我有点忙。,요즘 나는 좀 바빠.,zuì jìn wǒ yǒu diǎn máng。,你最近怎么样？,너 요즘 어때?,nǐ zuì jìn zěn me yàng？,最近如果有空的话，我们一起吃饭。,요즘 시간 되면 우리 같이 밥 먹자.,zuì jìn rú guǒ yǒu kòng de huà， wǒ men yì qǐ chī fàn。,有点……,如果……的话，……,,“最近”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
29,银行,yín háng,은행,은행,我下午要去银行办点事。,나 오후에 은행 가서 볼일 좀 볼 거야.,wǒ xià wǔ yào qù yín háng bàn diǎn shì。,你知道这附近哪儿有银行吗？,이 근처 어디에 은행 있는지 알아?,nǐ zhī dào zhè fù jìn nǎ ér yǒu yín háng ma？,银行快下班了，我先过去一趟。,은행 곧 문 닫아서 나 먼저 한 번 다녀올게.,yín háng kuài xià bān le， wǒ xiān guò qù yī tàng。,……过,,,“银行”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 银行” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
30,刚才,gāng cái,방금,강재,我刚才在开会。,나 방금 회의 중이었어.,wǒ gāng cái zài kāi huì。,你刚才给我打电话了吗？,너 방금 나한테 전화했어?,nǐ gāng cái gěi wǒ dǎ diàn huà le ma？,我刚才没看手机，所以没回你。,방금 휴대폰을 못 봐서 답을 못 했어.,wǒ gāng cái méi kàn shǒu jī， suǒ yǐ méi huí nǐ。,我刚……,所以……,,“刚才”는 시간 흐름을 자연스럽게 말할 때 매우 자주 쓰이는 표현이다.,문장 앞에 두어 상황 배경을 먼저 깔아 주는 연습을 하면 회화가 훨씬 자연스러워진다.
31,酒店,jiǔ diàn,호텔,주점,我先回酒店放一下行李。,나 먼저 호텔 들어가서 짐 좀 놓고 올게.,wǒ xiān huí jiǔ diàn fàng yī xià xíng lǐ。,你订的酒店离地铁站远吗？,네가 예약한 호텔은 지하철역에서 멀어?,nǐ dìng de jiǔ diàn lí dì tiě zhàn yuǎn ma？,你先去酒店办入住，我晚点过去找你。,"너 먼저 호텔 체크인해, 나는 좀 이따가 갈게.",nǐ xiān qù jiǔ diàn bàn rù zhù， wǒ wǎn diǎn guò qù zhǎo nǐ。,……过,,,“酒店”는 위치를 말하거나 약속 장소를 잡을 때 아주 자주 쓰는 생활 표현이다.,“在/去/到/从 + 酒店” 형태로 통째로 익히면 실제 회화에서 바로 튀어나오기 쉽다.
32,地图,dì tú,지도,지도,我先看一下地图，别走错了。,"내가 먼저 지도 좀 볼게, 길 잘못 들지 말자.",wǒ xiān kàn yī xià dì tú， bié zǒu cuò le。,这家店在地图上能搜到吗？,이 가게 지도에서 검색돼?,zhè jiā diàn zài dì tú shàng néng sōu dào ma？,你要是找不到，我在地图上给你发个定位。,못 찾겠으면 내가 지도에서 위치 찍어 보낼게.,nǐ yào shì zhǎo bú dào， wǒ zài dì tú shàng gěi nǐ fā gè dìng wèi。,,,,"“地图”는 길 찾기, 약속 장소 공유, 이동 계획에서 매우 자주 등장한다.",“看地图 / 地图上搜 / 发个定位”로 연결해서 익히면 내비게이션 표현이 쉬워진다.
33,相信,xiāng xìn,믿다,상신,我还是相信他。,나는 그래도 그를 믿어.,wǒ hái shì xiāng xìn tā。,你真的相信他说的话吗？,그가 한 말을 정말 믿어?,nǐ zhēn de xiāng xìn tā shuō de huà ma？,如果你不相信的话，我们再确认一次。,안 믿기면 한 번 더 확인하자.,rú guǒ nǐ bù xiāng xìn de huà， wǒ men zài què rèn yī cì。,如果……的话，……,,,“相信”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
34,导航,dǎo háng,내비게이션,도항,我开着导航过来的。,나 내비 켜고 왔어.,wǒ kāi zhe dǎo háng guò lái de。,你要不要先开一下导航？,내비 먼저 켜 볼래?,nǐ yào bù yào xiān kāi yī xià dǎo háng？,要是找不到，你就跟着导航走。,못 찾겠으면 내비 따라가.,yào shì zhǎo bú dào， nǐ jiù gēn zhe dǎo háng zǒu。,……过,要不……,,“导航”는 이동·길찾기·여행 약속에서 자주 나오는 핵심 표현이다.,"출발하기, 도착하기, 길 묻기, 어디서 기다리기 같은 문장과 같이 익히면 특히 유용하다."
35,觉得,jué de,생각하다,각득,我觉得这样更方便。,나는 이렇게 하는 게 더 편하다고 생각해.,wǒ jué de zhè yàng gèng fāng biàn。,你觉得这家店怎么样？,너는 이 가게 어때?,nǐ jué de zhè jiā diàn zěn me yàng？,你要是也觉得可以，我们就定这儿吧。,너도 괜찮다고 생각하면 여기로 정하자.,nǐ yào shì yě jué de kě yǐ， wǒ men jiù dìng zhè ér ba。,我觉得……,你觉得……怎么样？,,“觉得”는 생각·감정·대인관계 상황에서 자주 쓰는 고빈도 동사다.,주어와 목적어만 바꿔도 바로 응용되므로 짧은 문장째 외우는 방식이 효과적이다.
36,苹果,píng guǒ,사과,평과,家里还有两个苹果。,집에 사과 두 개가 더 있다.,jiā lǐ hái yǒu liǎng gè píng guǒ。,你要不要来个苹果？,사과 하나 먹을래?,nǐ yào bù yào lái gè píng guǒ？,要是你饿了，先吃个苹果垫一下。,배고프면 사과 하나 먼저 먹고 버텨.,yào shì nǐ è le， xiān chī gè píng guǒ diàn yī xià。,要不……,,,“苹果”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
37,洗脸,xǐ liǎn,세수하다,세련,我刚洗脸。,나 방금 세수했어.,wǒ gāng xǐ liǎn。,你早上洗脸了吗？,너 아침에 세수했어?,nǐ zǎo shàng xǐ liǎn le ma？,洗脸以后记得擦点面霜。,세수하고 나면 크림 좀 바르는 거 잊지 마.,xǐ liǎn yǐ hòu jì de cā diǎn miàn shuāng。,我刚……,,,“洗脸”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
38,老板,lǎo bǎn,사장,노판,我等会儿得跟老板说一声。,나 이따가 사장님한테 한마디 드려야 해.,wǒ děng huì er děi gēn lǎo bǎn shuō yī shēng。,这事要不要先跟老板确认一下？,이거 먼저 사장님께 확인해 볼까?,zhè shì yào bù yào xiān gēn lǎo bǎn què rèn yī xià？,老板点头了，我们就按这个办。,사장님이 오케이 하면 이대로 진행하자.,lǎo bǎn diǎn tóu le， wǒ men jiù àn zhè ge bàn。,要不……,,,"“老板”는 사람을 부르거나, 묻거나, 상의하는 장면에서 자주 나온다.",“跟老板说 / 问老板 / 找老板”처럼 사람을 바꿔 넣는 연습을 하면 응용 폭이 넓다.
39,困,kùn,졸리다,곤,我刚起床，还有点困。,나 방금 일어나서 아직 좀 졸려.,wǒ gāng qǐ chuáng， hái yǒu diǎn kùn。,你昨晚没睡好吗，怎么这么困？,어젯밤 잘 못 잤어? 왜 이렇게 졸려?,nǐ zuó wǎn méi shuì hǎo ma， zěn me zhè me kùn？,太困的话就先眯一会儿。,너무 졸리면 잠깐 눈 좀 붙여.,tài kùn de huà jiù xiān mī yī huì er。,我刚……,有点……,,“困”는 기분·상태·평가를 짧게 말할 때 자주 쓰는 핵심 형용사다.,“有点/不太/太/比较 + 困” 식으로 강도를 조절해 말하는 연습이 특히 중요하다.
40,经理,jīng lǐ,매니저,경리,经理刚叫我过去一趟。,매니저가 방금 나 잠깐 오라고 했어.,jīng lǐ gāng jiào wǒ guò qù yī tàng。,这事你跟经理说了吗？,이 일 매니저한테 말했어?,zhè shì nǐ gēn jīng lǐ shuō le ma？,等经理点头了，我们再往下做。,매니저가 오케이 하면 그때 계속하자.,děng jīng lǐ diǎn tóu le， wǒ men zài wǎng xià zuò。,……过,,,“经理”는 회사·가게에서 상사나 책임자를 가리킬 때 자주 쓰는 생활어다.,“跟经理说 / 经理同意 / 经理找我”처럼 통째로 익혀 두면 실전성이 높다.
41,做饭,zuò fàn,요리하다,주반,今天我来做饭。,오늘은 내가 요리할게.,jīn tiān wǒ lái zuò fàn。,你平时会自己做饭吗？,너 평소에 직접 요리해?,nǐ píng shí huì zì jǐ zuò fàn ma？,要是太晚了，我们就别做饭了，直接点外卖吧。,너무 늦으면 요리하지 말고 그냥 배달 시키자.,yào shì tài wǎn le， wǒ men jiù bié zuò fàn le， zhí jiē diǎn wài mài ba。,太……了,,,“做饭”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
42,蔬菜,shū cài,채소,소채,家里蔬菜不多了。,집에 채소가 많이 남지 않았다.,jiā lǐ shū cài bù duō le。,你今天要不要顺手买点蔬菜？,오늘 가는 길에 채소 좀 살래?,nǐ jīn tiān yào bù yào shùn shǒu mǎi diǎn shū cài？,如果晚上在家做饭，我就先去买蔬菜。,오늘 저녁 집에서 요리할 거면 내가 먼저 채소를 사 올게.,rú guǒ wǎn shàng zài jiā zuò fàn， wǒ jiù xiān qù mǎi shū cài。,要不……,,,“蔬菜”는 먹고 마시고 주문하는 장면에서 바로 써먹을 수 있는 생활어다.,먹기/마시기/주문하기/같이 먹자고 제안하기까지 묶어 연습하면 활용도가 높다.
43,买菜,mǎi cài,장을 보다,매채,我下班顺路去买菜。,퇴근길에 장 좀 봐 갈게.,wǒ xià bān shùn lù qù mǎi cài。,你一般在哪儿买菜？,너 보통 어디서 장 봐?,nǐ yì bān zài nǎ ér mǎi cài？,冰箱空了，今晚得去买菜。,냉장고가 비어서 오늘 저녁에는 장을 봐야 해.,bīng xiāng kōng le， jīn wǎn děi qù mǎi cài。,,,,“买菜”는 실전회화에서 바로 써먹는 핵심 동사다.,“先/再/一下/以后” 같은 말과 붙여 여러 상황으로 바꿔 말하는 연습을 하면 좋다.
